title,slug,sku,price,regular_price,sale_price,sale_start_date,sale_end_date,stock_status,manage_stock,stock_quantity,allow_backorders,sold_individually,weight,length,width,height,tax_status,tax_class,status,catalog_visibility,featured_product,description,short_description,purchase_note,virtual_product,downloadable_product,downloadable_files,download_limit,download_expiry,categories,tags,attributes,default_attributes,upsell_products,cross_sell_products,parent_product_id,main_image,gallery_images,variations,brands,color,size,material
Prolynx – Dual Access Card (RFID + MI FARE) – PL-EMF01,prolynx-dual-access-card-rfid-mi-fare-pl-emf01,,0,0,,,,instock,no,,no,no,,,,,taxable,,publish,visible,no,,"<div class='woocommerce-product-details__short-description'>
<p><strong>Key Features:</strong></p>
<ul>
<li>Dual Frequency Support: Compatible with both 13.56MHz and 125KHz card technologies simultaneously</li>
<li>Customizable Appearance: Offers options for personalized design to match your specific aesthetic needs</li>
<li>Stable, durable, and indelible</li>
</ul>
</div>",,no,no,,,,"Access Control & Time Attendance, Entrance Access Control","Access Control & Time Attendance, Prolynx, PrevProlynx - Tuya Smart WIFI Intercom and Access Control - PL-ACIT01, NextProlynx - Tuya Based Smart Cylinder Lock (Finger & Card) - PL-SCL01, Entrance Access Control",,,,,,prolynx-dual-access-card-rfid-mi-fare-pl-emf01_0_main.webp,,,Prolynx,,,
Akuvox – IP Intercom (Outdoor Unit) – E12S,akuvox-ip-intercom-outdoor-unit-e12s,,0,0,,,,instock,no,,no,no,,,,,taxable,,publish,visible,no,,"<div class='woocommerce-product-details__short-description'>
<p><strong>Key Features:</strong></p>
<ul>
<li>SIP video doorphone with relay</li>
<li>Body material: Plastics</li>
<li>Camera: 2MP, automatic lighting, viewing angle: 123° (H) / 69° (V), with LED white light</li>
<li>Two relay inputs and one relay output</li>
<li>Installation: Surface mount</li>
<li>RF card reader: 13.56MHz</li>
<li>Button: 1 call button with backlight</li>
<li>Micro SD card slot: 1</li>
<li>Water-proof &amp; Dust-proof: IP65</li>
<li>Two-way audio communication over IP networks with echo cancellation</li>
<li>Complies with SIP standard for easy integration with any SIP PBX</li>
</ul>
</div>",,no,no,,,,"Video Door Phones, Video Door Phones & Intercom","AKUVOX, Video Door & Intercom, PrevAkuvox - IP Intercom KIT - (E12S+C313S), NextAkuvox - 5 Button IP Intercom - R20B, Video Door Phones",,,,,,akuvox-ip-intercom-outdoor-unit-e12s_1_main.webp,,,AKUVOX,,,
